id,name,rating,reviews,bathrooms,beds,guests,toilets,bedrooms,studios,checkin,checkout,host_id,country,family_suitability,price_fix,safety,natural_condition,work_suitability
15991011,"Mahavan Green Rm -Eco-friendly ,Outdoor Adventures",4,15,1,2,3,0,1,0,1,1,57851274.0,India,2,110.0,1,1,2
18184464,Khasmahal Homestay,4,40,1,1,3,0,1,0,2,1,117236920.0,India,1,76.0,1,0,2
6678706,Romantic Getaway at the nook of central Ahmedabad,4,12,1,1,2,0,1,0,2,1,9767895.0,India,1,188.0,3,0,2
12338075,Double Room near Taj Mahal with Balcony,4,17,1,1,2,0,1,0,2,1,3615561.0,India,1,136.0,2,0,2
605565063671154840,Homestay with breakfast and dinner,0,0,1,2,2,0,1,0,2,0,450436315.0,India,1,34.0,1,0,0
19204879,Forest Side Homestay,0,0,1,9,16,0,1,0,3,0,132477194.0,Nepal,3,24.0,1,0,0
18352513,Pyunli Home @ Gauchar (Work from Mountains),4,17,2,2,3,0,2,0,2,0,127020402.0,India,0,106.0,1,0,3
32629786,Very Nice Homes (Deluxe Room),4,20,1,1,3,0,1,0,2,1,245289967.0,India,1,53.0,3,0,2
23103320,oolala-your lake house (G+B+W+C),0,0,4,4,8,0,4,0,2,1,148028332.0,India,1,951.0,1,0,1
5526022,The shire Cosy Room with breakfast,4,21,1,1,2,0,1,0,2,2,5697936.0,India,2,83.0,3,1,2
21920869,"Luxurious 2 Bedroom's With balcony at-Kothi,Manali",4,4,2,2,4,0,2,0,3,1,131858804.0,India,0,190.0,1,0,0
36580938,Satya Sadan Luxurious Holiday Home,0,0,5,6,10,0,5,0,2,1,954991.0,India,2,440.0,3,0,2
22675707,Stay in Mud House Under The Stars - 7,5,9,8,19,16,0,8,0,3,1,4647234.0,India,2,122.0,2,1,3
41376986,Bhubanbari Chrysalis AC King bath+kitchen+terrace,0,2,2,1,2,0,1,0,1,1,63667515.0,India,2,77.0,1,0,2
50933639,Couple's Delight  by The Stone Cottage,0,0,1,1,3,0,1,0,2,0,228476939.0,India,3,144.0,1,1,2
14367073,Khangsar Deluxe Home Stay,5,6,8,8,8,0,4,0,0,0,87041970.0,India,2,320.0,1,1,1
30138453,Budget Stay Keshav Palace in Pushkar,4,12,1,2,2,0,1,0,2,2,63589584.0,India,2,30.0,1,1,1
37895943,Saffron room,0,0,1,1,2,0,0,1,2,1,287068587.0,India,2,34.0,1,0,2
48965145,RAVINE HOTEL,5,5,1,2,3,0,1,0,2,1,394925158.0,India,2,80.0,1,0,2
40141501,B&M Luxury Stays,4,12,1,2,4,0,1,0,2,1,268101525.0,India,1,30.0,1,0,2
626621368373480766,Chaamp- Cozy/exotic attic suite w/ free parking,0,2,1,1,2,0,1,0,1,1,458577721.0,India,0,137.0,1,1,2
31656573,Modern En-Suite Room & Bathroom|Good Location,4,4,1,1,3,0,1,0,2,1,34262036.0,India,2,45.0,1,0,2
14082004,"*34- Premium Room, Bath, Breakfast, Wi-fi",4,14,1,1,3,0,1,0,2,1,84441865.0,India,0,91.0,2,0,2
13240178,Bhuj House - Room 3 of 4 - Heritage Homestay,4,15,1,2,2,0,1,0,0,0,46254004.0,India,1,171.0,1,0,1
31573356,Sharad Baug Homestay,0,1,9,12,12,0,9,0,2,1,160999219.0,India,1,137.0,3,0,2
619491734429262410,"Deluxe Room - Cozy ,Comfortable & Central B&B",0,0,1,1,3,0,1,0,2,0,455915024.0,India,0,88.0,3,0,1
51616825,Donskit guest house room 3,0,2,1,2,2,0,1,0,3,1,195545864.0,India,2,88.0,1,0,2
15717583,Garden Palace Heritage Homestays Balasinor,0,1,0,16,16,0,6,0,2,1,101528125.0,India,1,180.0,1,0,2
27789201,Indrashan- A Family Run Homestay,0,1,5,7,12,0,5,0,3,0,198428821.0,India,2,94.0,3,0,2
30079092,Yellowbrick,5,5,1,1,2,0,1,0,2,1,12136444.0,India,2,79.0,1,0,2
608209449123981609,Dokpa Guesthouse in Shey leh Ladakh,0,0,1,1,2,0,1,0,2,1,450436315.0,India,1,84.0,1,0,0
8831102,Bhuj House - Room 1 of 4 - Heritage Homestay,4,17,1,3,3,0,1,0,3,1,46254004.0,India,1,171.0,1,0,2
17561176,Moon 2 at Milla Guesthouse Bhaktapur,5,10,1,1,3,0,1,0,2,0,74771260.0,Nepal,2,222.0,1,0,1
42678169,"Grace Guesthouse, F-6, Islamabad",0,0,16,20,16,0,16,0,0,0,339989738.0,Pakistan,1,182.0,3,0,2
23228596,Mandarava Homestay,0,0,1,1,2,0,1,0,1,1,172809470.0,India,2,79.0,1,0,1
34046628,Mountain Guest House,4,5,3,5,8,0,3,0,3,2,248388811.0,Nepal,2,50.0,1,0,2
4741180,Friends in Khajuraho; Radha & Krishna Room,4,61,1,1,2,0,1,0,3,1,24474466.0,India,1,27.0,1,0,1
28847403,Chanod Haveli Royal Heritage Home,5,5,2,4,6,0,2,0,2,1,193824357.0,India,2,228.0,1,0,2
31106528,Shree Nikunj Homestay,0,2,1,1,2,0,1,0,1,0,224301246.0,India,1,51.0,1,0,2
618445622133593322,2 Bedroom Ensuite Bathroom - Boudha White House,0,1,2,3,5,0,2,0,2,2,402982029.0,Nepal,3,137.0,1,1,2
612498,"Heritage Haveli w Breakfast, Wifi, nr Airport",4,12,4,4,11,0,4,0,2,1,3037981.0,India,1,761.0,1,0,2
49506988,Always Guest welcome as God,0,0,6,1,2,0,1,0,1,0,261166221.0,India,1,40.0,3,0,2
38061704,"Lahariya Room at Jaisal Castle Homestay, Jaipur.",0,2,1,1,3,0,1,0,2,1,288827909.0,India,1,93.0,1,0,2
41336546,Very Nice Homes (Super Deluxe Room),5,4,1,1,3,0,1,0,2,0,245289967.0,India,2,52.0,3,0,3
17158613,"Private room, close to Thamel. Homely environment.",4,4,1,3,3,0,1,0,2,0,83881568.0,Nepal,1,40.0,1,0,1
41224201,Azalea Resort : Family Suite in Tehri,0,0,1,3,4,0,1,0,2,1,313033244.0,India,1,192.0,1,0,1
24787188,Majestic Annexe- Single Room with Twin beds,0,1,1,2,2,0,1,0,2,0,49092171.0,India,2,68.0,3,0,2
593306473085759495,Double Room @ The Calm Cottages Nathuwakhan,0,0,1,1,3,0,1,0,2,1,10376782.0,India,2,86.0,3,2,2
18652141,Modern room in a peaceful locality,5,4,1,1,2,0,1,0,1,2,2837472.0,India,1,95.0,1,0,2
50987345,White House islamabad F-8/4 islamabad,0,0,10,11,16,0,8,0,2,2,412427137.0,Pakistan,1,122.0,3,0,3
24612969,The Mustard room- Keanna Village Home,0,0,1,3,3,0,1,0,2,2,178802568.0,India,3,95.0,1,0,1
